Time (seconds),yresult,zresult,xresult
8.84,3.0,8.0,3.0
8.87,3.29616,-8.20116,-2.62908
8.87,3.29616,-7.6518,-6.35688
1633.65,0.11772,10.08468,0.11772
10.07,7.0,2.0,2.0
10.08,7.0,5.0,2.0
10.08,7.0,6.0,3.0
10.09,5.80752,-5.2974,-3.7278
10.09,7.49484,-5.6898,-3.06072
15.82,6.0,9.0,13.0
15.82,6.0,4.0,3.0
15.83,4.0,2.0,10.0
15.83,3.0,2.0,10.0
15.84,3.0,3.0,9.0
15.84,3.0,3.0,9.0
15.85,3.0,6.0,9.0
15.85,-2.47212,-6.55308,-10.3986
15.86,-5.84676,-5.96448,-5.45436
